sgRNA	gene	CRISPR_C7448913.sample	CRISPR_C6596666.sample
ADPRHL2_CCDS402.1_ex1_1:36556919-36556942:+_5-2	ADPRHL2	712	479
TSPAN18_CCDS7910.1_ex3_11:44940837-44940860:-_5-4	TSPAN18	253	544
ANKS4B_CCDS42130.1_ex1_16:21261462-21261485:+_5-4	ANKS4B	185	231
MFAP4_CCDS11208.1_ex3_17:19289726-19289749:+_5-5	MFAP4	388	434
sgINTS10_1	INTS10_LS	277	525
VPREB1_CCDS13798.1_ex1_22:22599437-22599460:+_5-2	VPREB1	185	364
MAT2A_CCDS1977.1_ex5_2:85769363-85769386:+_5-5	MAT2A	28	247
AARS_CCDS32474.1_ex16_16:70305735-70305758:-_5-3	AARS	85	351
KIAA1731_CCDS44708.1_ex13_11:93429919-93429942:-_5-4	KIAA1731	510	486
IL15RA_CCDS58069.1_ex5_10:6008155-6008178:+_5-4	IL15RA	537	603
CSPP1_CCDS43744.1_ex9_8:68026080-68026103:+_5-4	CSPP1	270	329
ZNF79_CCDS6871.1_ex3_9:130198229-130198252:+_5-3	ZNF79	539	606
sgSNRPA1_6	SNRPA1_LS	10	221
DECR2_CCDS10409.1_ex5_16:460692-460715:-_5-5	DECR2	530	617
SGCG_CCDS9299.1_ex2_13:23824807-23824830:+_5-4	SGCG	179	622
KIF13B_CCDS55217.1_ex30_8:29033662-29033685:+_5-4	KIF13B	226	451
CFP_CCDS14282.1_ex6_X:47487619-47487642:+_5-3	CFP	609	630
DNAJC9_CCDS7322.1_ex3_10:75006444-75006467:-_5-3	DNAJC9	159	198
TP53I13_CCDS42289.1_ex5_17:27899202-27899225:+_5-4	TP53I13	240	359
G3BP1_CCDS4319.1_ex5_5:151176896-151176919:-_5-5	G3BP1	60	187
TARM1_CCDS46173.1_ex2_19:54578297-54578320:+_5-5	TARM1	718	859
NADSYN1_CCDS8201.1_ex7_11:71184609-71184632:+_5-2	NADSYN1	505	543
FTSJ2_CCDS5328.1_ex1_7:2279127-2279150:+_5-4	FTSJ2	360	712
sgACHE_7	ACHE_LS	256	432
TRIM21_CCDS44525.1_ex5_11:4411318-4411341:-_5-4	TRIM21	471	435
DCLRE1A_CCDS7584.1_ex8_10:115612524-115612547:-_5-4	DCLRE1A	264	513
IPO9_CCDS1415.1_ex3_1:201817532-201817555:+_5-1	IPO9	351	426
MPHOSPH9_CCDS9243.2_ex21_12:123712134-123712157:-_5-5	MPHOSPH9	387	368
SOS1_CCDS1802.1_ex13_2:39249912-39249935:-_5-3	SOS1	273	487
CYP3A43_CCDS5675.1_ex5_7:99445805-99445828:-_6-2	CYP3A43	230	334
C17orf85_CCDS45578.1_ex9_17:3732550-3732573:+_5-4	C17orf85	634	555
WASL_CCDS34743.1_ex5_7:123336766-123336789:+_5-2	WASL	92	196
CASP1_CCDS8330.1_ex6_11:104903840-104903863:-_14-13	CASP1	38	94
ECSIT_CCDS12262.1_ex5_19:11624819-11624842:-_12-10	ECSIT	232	520
KLHL10_CCDS42340.1_ex1_17:39998157-39998180:+_5-3	KLHL10	201	279
NUP133_CCDS1579.1_ex21_1:229635464-229635487:-_5-2	NUP133	218	520
SOWAHD_CCDS43984.1_ex0_X:118892798-118892821:-_5-2	SOWAHD	589	697
AADACL4_CCDS30590.1_ex1_1:12711250-12711273:+_5-2	AADACL4	254	401
POLN_CCDS3360.1_ex20_4:2200272-2200295:-_5-3	POLN	194	285
MAD1L1_CCDS43539.1_ex7_7:2108964-2108987:-_5-1	MAD1L1	415	554
sgPSMB3_7	PSMB3_LS	45	437
PROKR1_CCDS1889.1_ex1_2:68882039-68882062:-_5-4	PROKR1	1448	621
BCAP29_CCDS34730.1_ex0_7:107221298-107221321:-_5-1	BCAP29	181	369
XRCC4_CCDS4058.1_ex0_5:82400831-82400854:+_5-1	XRCC4	20	64
SPINT3_CCDS46608.1_ex0_20:44141404-44141427:-_3-1	SPINT3	391	643
TPI1_CCDS53740.1_ex4_12:6978840-6978863:+_9-9	TPI1	448	460
sgHDAC1_10	HDAC1_LS	324	463
MTMR2_CCDS8305.1_ex10_11:95595189-95595212:-_5-4	MTMR2	691	489
DECR1_CCDS6250.1_ex4_8:91033236-91033259:-_5-5	DECR1	575	528
TMTC4_CCDS41904.1_ex10_13:101289820-101289843:-_5-2	TMTC4	631	478
RNF165_CCDS32823.1_ex3_18:44027605-44027628:-_8-3	RNF165	564	510
ERO1LB_CCDS31064.1_ex9_1:236399664-236399687:+_5-4	ERO1LB	371	564
ZFP30_CCDS33005.1_ex0_19:38126502-38126525:+_5-2	ZFP30	524	516
ZNF454_CCDS4441.1_ex3_5:178392174-178392197:-_5-5	ZNF454	227	356
ZNF529_CCDS54256.1_ex0_19:37038676-37038699:-_5-1	ZNF529	23	59
AGMAT_CCDS160.1_ex6_1:15911300-15911323:+_5-5	AGMAT	293	475
TUBE1_CCDS5100.1_ex7_6:112402336-112402359:+_5-5	TUBE1	65	107
sgREST_5	REST_LS	463	520
KLHL25_CCDS10339.1_ex0_15:86312699-86312722:+_5-3	KLHL25	628	468
OPHN1_CCDS14388.1_ex13_X:67421489-67421512:-_5-1	OPHN1	182	298
ITGB5_CCDS3030.1_ex9_3:124540245-124540268:-_5-2	ITGB5	459	494
RPS6KB2_CCDS41677.1_ex5_11:67200109-67200132:+_5-5	RPS6KB2	614	742
GHITM_CCDS41542.1_ex2_10:85903835-85903858:+_5-3	GHITM	38	229
sgCDK17_9	CDK17_LS	259	321
METTL13_CCDS1299.1_ex2_1:171755091-171755114:+_5-2	METTL13	165	239
ABCA10_CCDS11684.1_ex30_17:67210930-67210953:+_5-4	ABCA10	207	269
ABI2_CCDS2358.1_ex3_2:204255829-204255852:-_5-2	ABI2	394	398
NUDT21_CCDS10760.1_ex5_16:56481839-56481862:+_5-5	NUDT21	59	542
NPY_CCDS5387.1_ex0_7:24324995-24325018:-_5-4	NPY	351	439
C5orf28_CCDS3945.1_ex1_5:43453882-43453905:-_5-5	C5orf28	178	331
SRL_CCDS42113.1_ex1_16:4245567-4245590:+_5-2	SRL	493	581
MPPED2_CCDS44560.1_ex4_11:30557692-30557715:+_5-5	MPPED2	282	291
LRRC8D_CCDS726.1_ex0_1:90398831-90398854:-_5-1	LRRC8D	242	327
SMC5_CCDS6632.1_ex0_9:72874132-72874155:-_5-1	SMC5	359	487
OPN1LW_CCDS14742.1_ex1_X:153416296-153416319:-_2-1	OPN1LW	611	647
TMEM87A_CCDS32205.1_ex14_15:42553157-42553180:+_10-4	TMEM87A	86	112
RNF17_CCDS9308.2_ex5_13:25355992-25356015:+_5-4	RNF17	97	162
MAGEE2_CCDS14431.1_ex0_X:75004687-75004710:+_5-4	MAGEE2	375	403
MAS1L_CCDS4661.1_ex0_6:29455315-29455338:+_5-3	MAS1L	434	501
sgPSME3_8	PSME3_LS	280	488
BOLL_CCDS2324.1_ex3_2:198622094-198622117:-_5-1	BOLL	118	232
GLB1L_CCDS2437.1_ex9_2:220104507-220104530:+_5-3	GLB1L	264	591
DNAJB13_CCDS8227.1_ex2_11:73670594-73670617:-_5-1	DNAJB13	349	322
SMAD6_CCDS10221.1_ex2_15:67008774-67008797:+_5-2	SMAD6	239	430
SLC16A3_CCDS11804.1_ex1_17:80194715-80194738:+_5-2	SLC16A3	737	521
SECISBP2_CCDS65076.1_ex6_9:91953366-91953389:+_5-4	SECISBP2	223	246
MOGAT3_CCDS5714.1_ex3_7:100841914-100841937:+_5-1	MOGAT3	177	309
PPIF_CCDS7358.1_ex0_10:81107460-81107483:+_5-2	PPIF	651	522
HLA-DMB_CCDS4760.1_ex3_6:32905186-32905209:-_5-3	HLA-DMB	240	271
UBA7_CCDS2805.1_ex15_3:49848773-49848796:+_5-2	UBA7	612	703
PDE4A_CCDS12238.1_ex3_19:10570111-10570134:+_5-4	PDE4A	300	575
PROCR_CCDS13248.1_ex1_20:33762627-33762650:-_5-3	PROCR	450	547
ZNF655_CCDS34695.1_ex1_7:99161540-99161563:-_11-8	ZNF655	268	858
MRGPRX3_CCDS7830.1_ex0_11:18158865-18158888:+_5-1	MRGPRX3	263	497
PJA2_CCDS4099.1_ex6_5:108714672-108714695:-_5-3	PJA2	229	145
PLA2G2D_CCDS203.1_ex1_1:20441996-20442019:+_5-2	PLA2G2D	418	457
UBIAD1_CCDS129.1_ex0_1:11334045-11334068:-_5-5	UBIAD1	453	491
GDPD2_CCDS14402.1_ex6_X:69646829-69646852:+_5-4	GDPD2	578	717
MRPS28_CCDS6226.1_ex2_8:80942334-80942357:-_5-4	MRPS28	128	415
UACA_CCDS10235.1_ex11_15:70976689-70976712:-_5-4	UACA	855	693
sgKDM5D_1	KDM5D_LS	192	499
MPV17_CCDS1748.1_ex3_2:27535422-27535445:+_5-1	MPV17	85	216
IFT172_CCDS1755.1_ex26_2:27684339-27684362:-_5-2	IFT172	333	303
C1orf95_CCDS31044.1_ex0_1:226736797-226736820:-_5-4	C1orf95	608	682
AKIRIN1_CCDS433.1_ex0_1:39457193-39457216:-_6-2	AKIRIN1	249	417
DOC2A_CCDS10666.1_ex6_16:30020368-30020391:-_5-3	DOC2A	490	655
SPATA6_CCDS551.1_ex10_1:48917244-48917267:+_5-4	SPATA6	326	681
PDZK1_CCDS55629.1_ex1_1:145748420-145748443:+_6-4	PDZK1	180	390
CDC73_CCDS1382.1_ex1_1:193094259-193094282:+_5-1	CDC73	19	297
HMX1_CCDS47018.1_ex0_4:8870043-8870066:-_5-1	HMX1	301	511
DCLRE1B_CCDS866.1_ex3_1:114453956-114453979:-_5-4	DCLRE1B	175	453
MNT_CCDS11018.1_ex4_17:2298356-2298379:+_5-3	MNT	508	680
TMEM41B_CCDS31424.1_ex5_11:9321219-9321242:+_7-5	TMEM41B	376	561
SNX10_CCDS5399.1_ex2_7:26404185-26404208:-_9-1	SNX10	94	193
ING3_CCDS5778.1_ex6_7:120607667-120607690:-_7-6	ING3	113	230
WDR54_CCDS1940.1_ex1_2:74650037-74650060:+_5-2	WDR54	136	439
PLD3_CCDS33027.1_ex3_19:40873643-40873666:-_5-3	PLD3	136	502
PAX6_CCDS31451.1_ex7_11:31823241-31823264:+_5-4	PAX6	328	415
ZNF44_CCDS45988.1_ex0_19:12384494-12384517:-_5-2	ZNF44	0	0
sgPKN3_1	PKN3_LS	173	215
PTGES2_CCDS6891.1_ex5_9:130887669-130887692:+_5-5	PTGES2	236	368
YIPF4_CCDS1781.1_ex1_2:32515574-32515597:-_5-1	YIPF4	92	232
sgSTK11_10	STK11_LS	559	477
CIC_CCDS12601.1_ex9_19:42795100-42795123:+_5-4	CIC	213	226
RORB_CCDS6646.1_ex3_9:77257542-77257565:-_5-2	RORB	75	117
ZNF500_CCDS32383.1_ex4_16:4815848-4815871:+_5-5	ZNF500	320	594
PROCR_CCDS13248.1_ex1_20:33762586-33762609:+_5-2	PROCR	321	660
PRKRA_CCDS2279.1_ex5_2:179312268-179312291:-_5-4	PRKRA	259	513
C1QTNF3_CCDS34141.1_ex4_5:34035816-34035839:+_5-4	C1QTNF3	321	422
SOX6_CCDS53604.1_ex7_11:16119201-16119224:+_5-1	SOX6	192	371
sgSMNDC1_2	SMNDC1_LS	76	290
TM4SF20_CCDS2466.1_ex1_2:228230850-228230873:+_5-3	TM4SF20	116	204
TIGD1_CCDS2495.1_ex0_2:233414475-233414498:-_5-5	TIGD1	324	666
GID8_CCDS13510.1_ex1_20:61574381-61574404:+_5-2	GID8	331	373
FTL_CCDS33070.1_ex2_19:49469567-49469590:-_5-3	FTL	346	544
C9orf142_CCDS7020.1_ex2_9:139887413-139887436:-_5-4	C9orf142	323	568
ZNF691_CCDS476.1_ex0_1:43316839-43316862:-_5-2	ZNF691	451	581
LETMD1_CCDS58231.1_ex3_12:51447625-51447648:-_5-5	LETMD1	50	99
sgSMYD4_4	SMYD4_LS	216	296
sgTNIP1_3	TNIP1_LS	416	487
KRTAP9-4_CCDS11386.1_ex0_17:39406115-39406138:-_2-2	KRTAP9-4	436	612
MARVELD3_CCDS10904.1_ex0_16:71660256-71660279:+_5-2	MARVELD3	138	384
MRPS34_CCDS10444.1_ex0_16:1822496-1822519:-_5-1	MRPS34	0	1
PDZD9_CCDS10602.2_ex1_16:21999910-21999933:+_5-3	PDZD9	23	75
TPGS1_CCDS42454.1_ex0_19:507731-507754:+_5-2	TPGS1	550	672
sgSNRNP70_10	SNRNP70_LS	29	340
DSG1_CCDS11896.1_ex8_18:28916457-28916480:-_5-4	DSG1	395	303
TGM5_CCDS32211.1_ex8_15:43545714-43545737:-_5-5	TGM5	861	758
LCE2C_CCDS1019.1_ex0_1:152648626-152648649:+_2-2	LCE2C	14	463
TYR_CCDS8284.1_ex0_11:88911348-88911371:-_5-1	TYR	740	627
VPS35_CCDS10721.1_ex7_16:46708277-46708300:+_5-1	VPS35	152	383
BRF1_CCDS10001.1_ex17_14:105766779-105766802:+_13-12	BRF1	292	369
FLOT1_CCDS4688.1_ex9_6:30709419-30709442:-_5-5	FLOT1	234	653
LHFPL1_CCDS14562.1_ex2_X:111914451-111914474:-_5-3	LHFPL1	307	471
GABRG3_CCDS45195.1_ex3_15:27572083-27572106:+_5-5	GABRG3	73	295
SLC35A3_CCDS60204.1_ex1_1:100459267-100459290:-_5-2	SLC35A3	116	201
TMEM247_CCDS56117.1_ex1_2:46707668-46707691:-_5-4	TMEM247	434	707
EEF1G_CCDS44626.1_ex6_11:62339020-62339043:+_5-3	EEF1G	39	589
BCL2L11_CCDS2089.1_ex0_2:111881696-111881719:-_17-12	BCL2L11	478	430
PDIA2_CCDS42089.1_ex4_16:335157-335180:+_5-5	PDIA2	414	725
MRGPRF_CCDS8188.1_ex0_11:68773327-68773350:-_5-2	MRGPRF	425	530
KCNT2_CCDS1384.1_ex14_1:196342271-196342294:-_5-3	KCNT2	145	244
SNRPN_CCDS10017.1_ex2_15:25221546-25221569:+_5-3	SNRPN	420	448
sgMYLK3_1	MYLK3_LS	0	44
TNFRSF9_CCDS92.1_ex2_1:7995159-7995182:-_5-1	TNFRSF9	355	554
sgMCM9_4	MCM9_LS	192	270
TMCO4_CCDS198.1_ex7_1:20073023-20073046:-_5-2	TMCO4	466	870
ADCK5_CCDS34965.1_ex2_8:145608347-145608370:-_5-2	ADCK5	426	598
HORMAD1_CCDS55633.1_ex10_1:150687093-150687116:+_5-5	HORMAD1	89	331
CRIM1_CCDS1783.1_ex5_2:36704168-36704191:+_5-5	CRIM1	429	457
sgPPIH_7	PPIH_LS	270	381
CFHR2_CCDS30959.1_ex2_1:196920025-196920048:+_4-2	CFHR2	444	326
CTRL00349	NON-TARGETING	304	323
CCDC142_CCDS1945.1_ex8_2:74709536-74709559:+_5-4	CCDC142	640	850
DOCK2_CCDS4371.1_ex21_5:169145758-169145781:+_5-5	DOCK2	508	729
GALT_CCDS59122.1_ex3_9:34648362-34648385:-_5-3	GALT	400	632
PSD_CCDS31272.1_ex13_10:104174846-104174869:+_5-3	PSD	765	568
CTRL00731	NON-TARGETING	384	491
B3GNT2_CCDS1870.1_ex0_2:62449627-62449650:-_5-2	B3GNT2	236	340
sgZC3HAV1_6	ZC3HAV1_LS	104	347
sgHDAC9_5	HDAC9_LS	189	513
TMEM65_CCDS6348.1_ex6_8:125384100-125384123:+_5-4	TMEM65	257	348
